type,data,company,n,delta,Lat,Lon
toC,2017-02-20,AQUAZZURA ITALIA SRL,2,0,43.7699,11.2556
toC,2017-02-20,SALVATORE FERRAGAMO SPA,6,0,43.7699,11.2556
toC,2017-02-20,DOLCE & GABBANA SRL,16,0,45.4668,9.1905
toC,2017-02-20,VALENTINO SPA,4,0,45.4668,9.1905
toC,2017-02-20,WHITE SRL SOC. UNIPERSONALE,3,0,45.4668,9.1905
toC,2017-02-20,SWINGER INTERNATIONAL SPA,1,0,45.4741,10.8462
toC,2017-02-20,NOVARLUX ITALIA SRL,3,0,45.5567,8.97774
toC,2017-02-20,SEYMECHAMLOU SRL,18,0,45.5567,8.97774
toC,2017-02-20,ROVEDA SRL,1,0,45.5586,8.94789
toC,2017-02-20,ST.GERMAIN BOUTIQUE SRL,1,0,45.5586,8.94789
toC,2017-02-20,MORELLATO SPA,1,0,46.0636,11.4672
toC,2017-02-20,CHRISTIAN LOUBOUTIN S.A.S.,13,0,48.8566,2.3515
toC,2017-02-20,CHRISTIAN LOUBOUTIN SAS,38,0,48.8566,2.3515
toC,2017-02-20,MANDO SARL,13,0,48.8566,2.3515
toC,2017-02-20,MAISON MICHEL,13,0,48.9146,2.38219
toC,2017-02-20,GABOR SPOL S.R.O.,18,0,49.2197,18.7397
toC,2017-02-20,ALTERNATIVA DE MODA SAS TOUCHE,23,3,6.25598,-75.58
fromSub,2017-02-20,GESM SPA FASHION FACTORY,2,0,45.5846,10.4382
fromSub,2017-02-20,EGAL SRL,6,0,45.5962,9.01754
fromSub,2017-02-20,WORTRAD INTERNATIONAL SRL,8,0,45.6257,9.03733
fromSub,2017-02-20,MADEBLACK SRL,65,0,45.6508,9.84802
fromSub,2017-02-20,MAFLEX SRL,1,2,45.6851,8.93814
toSub,2017-02-20,MAFLEX SRL,1,0,45.6851,8.93814
toSub,2017-02-20,MADEBLACK SRL,74,0,45.6508,9.84802
toSub,2017-02-20,EGAL SRL,36,0,45.5962,9.01754
toSub,2017-02-20,GESM SPA FASHION FACTORY,4,0,45.5846,10.4382
S,2017-02-21,RIBELLE SRL UNIPERSONALE,1,0,44.8224,10.8892
S,2017-02-21,EUROMINUTERIE SRL,1,1,45.4077,11.8734
S,2017-02-21,GER.MAC STAMPI SAS,1,0,45.7133,8.90516
toC,2017-02-21,CANO ART. CALZADO S.L.,25,0,38.5869,-0.672549
toC,2017-02-21,LEO SHOES SRL,2,0,40.0109,18.1617
toC,2017-02-21,LN MANIFACTURING SRL,4,0,40.8359,14.2488
toC,2017-02-21,EFFEUNO SRL,1,0,41.8933,12.4829
toC,2017-02-21,FENDI SRL,12,0,41.8933,12.4829
toC,2017-02-21,CENTRO ACCESSORI SPA,2,0,43.2364,13.5951
toC,2017-02-21,CALZATURIFICIO ILARIA SRL,2,0,43.3901,11.2231
toC,2017-02-21,RO' DI ROBERTA MALATINI,7,0,43.4035,13.5486
toC,2017-02-21,EXCLUSIVE SRL,2,0,43.6395,11.5646
toC,2017-02-21,BEAUTY BRASS SRL,28,0,43.6587,11.2976
toC,2017-02-21,EVERYN SRL,7,0,43.6703,10.7605
toC,2017-02-21,RIVER GROUP SPA,4,0,43.7292,10.8082
toC,2017-02-21,PROPEL SRL,1,0,43.7567,11.1848
toC,2017-02-21,STELLA MCCARTNEY ITALIA SRL,3,0,43.7567,11.1848
toC,2017-02-21,AQUAZZURA ITALIA SRL,2,1,43.7699,11.2556
toC,2017-02-21,SALVATORE FERRAGAMO SPA,1,0,43.7699,11.2556
toC,2017-02-21,ITALFIBBIA SRL,2,0,43.8317,11.1992
toC,2017-02-21,ORCIANI SPA,15,0,43.8424,13.0147
toC,2017-02-21,CALZATURIFICIO NERI SRL,4,0,45.4173,12.0332
toC,2017-02-21,DOLCE & GABBANA SRL,24,0,45.4668,9.1905
toC,2017-02-21,PRADA SPA,2,0,45.4668,9.1905
toC,2017-02-21,SANTONI SPA,4,0,45.4668,9.1905
toC,2017-02-21,VALENTINO SPA,4,0,45.4668,9.1905
toC,2017-02-21,C.L. SERVICES TECHNIQUES SRL,2,0,45.5567,8.97774
toC,2017-02-21,SEYMECHAMLOU SRL,1,0,45.5567,8.97774
toC,2017-02-21,ARCOBALENO S.R.L.,3,0,45.6599,8.7932
toC,2017-02-21,CHRISTIAN LOUBOUTIN SAS,12,0,48.8566,2.3515
toC,2017-02-21,MANDO SARL,2,0,48.8566,2.3515
toC,2017-02-21,MAISON MICHEL,2,0,48.9146,2.38219
fromSub,2017-02-21,EGAL SRL,18,0,45.5962,9.01754
fromSub,2017-02-21,MADEBLACK SRL,128,0,45.6508,9.84802
toSub,2017-02-21,MADEBLACK SRL,52,0,45.6508,9.84802
toSub,2017-02-21,WORTRAD INTERNATIONAL SRL,12,0,45.6257,9.03733
toSub,2017-02-21,EGAL SRL,49,0,45.5962,9.01754
S,2017-02-22,C&C METAL PRODUCTS CORP.METAL,3,0,40.8929,-73.9726
S,2017-02-22,CHERRY CHARM XIAO LING RAIMEN,2,0,33.0821,10.7031
S,2017-02-22,MBA F.LLI LANDI SRL,1,1,43.6587,11.2976
toC,2017-02-22,ARTI MODA S.A.L.,13,0,33.9093,35.5781
toC,2017-02-22,CIEMME SRL,4,0,39.2915,9.00154
toC,2017-02-22,FENDI SRL,59,0,41.8933,12.4829
toC,2017-02-22,KIT-SERVICE SRL,2,0,42.5136,14.1516
toC,2017-02-22,NAST SRL,1,0,42.7734,13.6723
toC,2017-02-22,CALZATURIFICIO ROMIT SPA,10,0,43.2325,13.6316
toC,2017-02-22,TOD'S SPA,24,0,43.2347,13.6879
toC,2017-02-22,MERCURI MODA SRL,6,0,43.2567,13.7608
toC,2017-02-22,BAMBOLETTA SRL,5,0,43.3055,13.7229
toC,2017-02-22,FALC SPA,17,0,43.3055,13.7229
toC,2017-02-22,ARCADIA SRL,22,1,43.6908,12.8126
toC,2017-02-22,DOLCE & GABBANA SRL,13,0,45.4668,9.1905
toC,2017-02-22,PRADA SPA,14,0,45.4668,9.1905
toC,2017-02-22,VALENTINO SPA,1,0,45.4668,9.1905
toC,2017-02-22,SEYMECHAMLOU SRL,5,0,45.5567,8.97774
toC,2017-02-22,GIOVANNI MONTE SRL,2,0,45.5586,8.94789
toC,2017-02-22,CALZATURIFICIO MARTINI SRL,2,0,45.7465,8.43607
toC,2017-02-22,PROTEK SRL UNIPERSONALE,1,0,45.7962,11.7584
toC,2017-02-22,CHRISTIAN LOUBOUTIN SAS,21,0,48.8566,2.3515
toC,2017-02-22,LOUIS VUITTON MALLETIER,15,0,48.8566,2.3515
toC,2017-02-22,MANDO SARL,4,0,48.8566,2.3515
toC,2017-02-22,GABOR SPOL S.R.O.,11,0,49.2197,18.7397
fromSub,2017-02-22,GESM SPA FASHION FACTORY,7,0,45.5846,10.4382
fromSub,2017-02-22,EGAL SRL,35,0,45.5962,9.01754
fromSub,2017-02-22,WORTRAD INTERNATIONAL SRL,27,0,45.6257,9.03733
fromSub,2017-02-22,MADEBLACK SRL,69,0,45.6508,9.84802
toSub,2017-02-22,MADEBLACK SRL,27,0,45.6508,9.84802
toSub,2017-02-22,EGAL SRL,34,0,45.5962,9.01754
toSub,2017-02-22,GESM SPA FASHION FACTORY,2,1,45.5846,10.4382
S,2017-02-23,COLOR-PLAST SRL,4,0,45.7133,8.90516
S,2017-02-23,METALLURGICA LOMBARDA SRL,10,0,45.3987,8.91623
S,2017-02-23,IL GRANELLO SCARL,2,0,45.6588,8.97193
S,2017-02-23,OLTRONA PLAST SRL,2,0,45.7156,8.98307
S,2017-02-23,RAVAGO ITALIA SPA,1,1,45.5914,9.80926
S,2017-02-23,SPM SRL DIE CASTING,3,0,45.5991,9.88497
toC,2017-02-23,JAIME MASCARO S.A,10,0,39.9833,4.01095
toC,2017-02-23,LEO SHOES SRL,4,0,40.0109,18.1617
toC,2017-02-23,JEANNOT S SRL,2,0,41.1992,16.5968
toC,2017-02-23,FENDI SRL,49,0,41.8933,12.4829
toC,2017-02-23,MERCURI MODA SRL,1,0,43.2567,13.7608
toC,2017-02-23,BAMBOLETTA SRL,2,0,43.3055,13.7229
toC,2017-02-23,EXCLUSIVE SRL,1,0,43.6395,11.5646
toC,2017-02-23,RESCOPELL SRL PELLETTERIA,1,0,43.6434,11.5467
toC,2017-02-23,BEAUTY BRASS SRL,2,0,43.6587,11.2976
toC,2017-02-23,RIVER GROUP SPA,1,0,43.7292,10.8082
toC,2017-02-23,BOTTONIFICIO LEONARDO SRL,1,0,43.7332,11.0209
toC,2017-02-23,EFFEBI SRL,1,0,43.7567,11.1848
toC,2017-02-23,ITALFIBBIA SRL,26,0,43.8317,11.1992
toC,2017-02-23,TREND SRL UNIPERSONALE,4,0,45.0954,6.91627
toC,2017-02-23,DOLCE & GABBANA SRL,35,0,45.4668,9.1905
toC,2017-02-23,FONTANA PELLETTERIE SPA,6,0,45.4668,9.1905
toC,2017-02-23,PRADA SPA,1,0,45.4668,9.1905
toC,2017-02-23,VALENTINO SPA,3,0,45.4668,9.1905
toC,2017-02-23,NOVARLUX ITALIA SRL,2,0,45.5567,8.97774
toC,2017-02-23,ARCOBALENO S.R.L.,2,1,45.6599,8.7932
toC,2017-02-23,CHRISTIAN LOUBOUTIN SAS,15,0,48.8566,2.3515
toC,2017-02-23,MANDO SARL,7,0,48.8566,2.3515
toC,2017-02-23,GABOR SPOL S.R.O.,11,0,49.2197,18.7397
fromSub,2017-02-23,GESM SPA FASHION FACTORY,2,0,45.5846,10.4382
fromSub,2017-02-23,EGAL SRL,27,0,45.5962,9.01754
fromSub,2017-02-23,WORTRAD INTERNATIONAL SRL,16,0,45.6257,9.03733
fromSub,2017-02-23,MADEBLACK SRL,60,0,45.6508,9.84802
toSub,2017-02-23,JIANG XIUJIN,1,0,45.7133,8.90516
toSub,2017-02-23,MADEBLACK SRL,33,0,45.6508,9.84802
toSub,2017-02-23,EGAL SRL,11,0,45.5962,9.01754
toSub,2017-02-23,GESM SPA FASHION FACTORY,1,1,45.5846,10.4382
S,2017-02-24,MONTALBETTI MARIO S.N.C.,2,0,45.6909,8.87246
S,2017-02-24,NOVA RAMPALUX SNC,2,0,45.6915,8.93154
S,2017-02-24,OLTRONA PLAST SRL,1,1,45.7156,8.98307
toC,2017-02-24,CANO ART. CALZADO S.L.,13,0,38.5869,-0.672549
toC,2017-02-24,VICTORIA' S SECRET BEAUTY,10,0,40.7306,-73.9866
toC,2017-02-24,JEANNOT S SRL,1,0,41.1992,16.5968
toC,2017-02-24,FENDI SRL,45,0,41.8933,12.4829
toC,2017-02-24,OCCHIPINTI SRL,1,0,41.8933,12.4829
toC,2017-02-24,CALZATURIFICIO ROMIT SPA,13,0,43.2325,13.6316
toC,2017-02-24,MERCURI MODA SRL,3,0,43.2567,13.7608
toC,2017-02-24,BAMBOLETTA SRL,1,1,43.3055,13.7229
toC,2017-02-24,BOEMOS SPA - INDUSTRIA CALZATU,2,0,43.7292,10.8082
toC,2017-02-24,CALZATURIFICIO STELLA SRL,1,0,43.7477,11.0731
toC,2017-02-24,CASTOR SRL,1,0,45.1473,10.6485
toC,2017-02-24,TOMMY SRL,4,0,45.4173,12.0332
toC,2017-02-24,DOLCE & GABBANA SRL,20,0,45.4668,9.1905
toC,2017-02-24,GIANNI VERSACE SPA,98,0,45.4668,9.1905
toC,2017-02-24,PRADA SPA,2,0,45.4668,9.1905
toC,2017-02-24,VALENTINO SPA,2,0,45.4668,9.1905
toC,2017-02-24,SEYMECHAMLOU SRL,3,0,45.5567,8.97774
toC,2017-02-24,GIOVANNI MONTE SRL,5,0,45.5586,8.94789
toC,2017-02-24,LA GRIFFE SRL,2,0,45.5586,8.94789
toC,2017-02-24,ST.GERMAIN BOUTIQUE SRL,1,0,45.5586,8.94789
toC,2017-02-24,CALZATURIFICIO MARTINI SRL,1,0,45.7465,8.43607
toC,2017-02-24,MORELLATO SPA,2,0,46.0636,11.4672
toC,2017-02-24,GABOR SHOES AG,3,0,47.8539,12.1273
toC,2017-02-24,CHRISTIAN LOUBOUTIN SAS,5,0,48.8566,2.3515
toC,2017-02-24,MANDO SARL,1,0,48.8566,2.3515
toC,2017-02-24,GABOR SPOL S.R.O.,2,0,49.2197,18.7397
toC,2017-02-24,CAMACHO VELEZ SA,13,0,6.24434,-75.5736
fromSub,2017-02-24,GESM SPA FASHION FACTORY,3,0,45.5846,10.4382
fromSub,2017-02-24,EGAL SRL,37,0,45.5962,9.01754
fromSub,2017-02-24,WORTRAD INTERNATIONAL SRL,14,0,45.6257,9.03733
fromSub,2017-02-24,MADEBLACK SRL,87,0,45.6508,9.84802
toSub,2017-02-24,MADEBLACK SRL,40,0,45.6508,9.84802
toSub,2017-02-24,WORTRAD INTERNATIONAL SRL,10,1,45.6257,9.03733
toSub,2017-02-24,EGAL SRL,16,0,45.5962,9.01754
S,2017-02-27,MBA F.LLI LANDI SRL,1,3,43.6587,11.2976
S,2017-02-27,QUADRIFER SRL,1,0,45.7133,8.90516
S,2017-02-27,SPM SRL DIE CASTING,1,0,45.5991,9.88497
toC,2017-02-27,LEO SHOES SRL,2,0,40.0109,18.1617
toC,2017-02-27,FENDI SRL,56,0,41.8933,12.4829
toC,2017-02-27,TOD'S SPA,4,0,43.2347,13.6879
toC,2017-02-27,MERCURI MODA SRL,1,0,43.2567,13.7608
toC,2017-02-27,STUDIO GRAPHIK P.M. SRL,8,0,43.2753,11.9851
toC,2017-02-27,RO' DI ROBERTA MALATINI,1,0,43.4035,13.5486
toC,2017-02-27,TM SERVICE SRL,2,0,43.4861,13.4824
toC,2017-02-27,LEONELLO PALANTI SRL,1,0,43.7477,11.0731
toC,2017-02-27,BULGARI ACCESSORI SRL,19,0,43.7699,11.2556
toC,2017-02-27,SALVATORE FERRAGAMO SPA,3,0,43.7699,11.2556
toC,2017-02-27,RUCOLINE SPA,2,0,43.8295,10.5303
toC,2017-02-27,IDEA 21 SRL,2,0,44.0594,12.5684
toC,2017-02-27,LASER TEAM SRL,4,0,44.1065,12.4149
toC,2017-02-27,SERGIO ROSSI SPA,2,0,44.1065,12.4149
toC,2017-02-27,CAMAC SRL,9,0,44.1845,12.2181
toC,2017-02-27,FURLA SPA,15,0,44.4716,11.4049
toC,2017-02-27,DOLCE & GABBANA SRL,4,0,45.4668,9.1905
toC,2017-02-27,VALENTINO SPA,1,0,45.4668,9.1905
toC,2017-02-27,NOVARLUX ITALIA SRL,2,0,45.5567,8.97774
toC,2017-02-27,SEYMECHAMLOU SRL,4,0,45.5567,8.97774
toC,2017-02-27,GIOVANNI MONTE SRL,5,0,45.5586,8.94789
toC,2017-02-27,ST.GERMAIN BOUTIQUE SRL,1,0,45.5586,8.94789
toC,2017-02-27,GRITTI GROUP SPA,2,0,45.6572,9.72311
toC,2017-02-27,CALZATURIFICIO MARTINI SRL,1,0,45.7465,8.43607
toC,2017-02-27,CHRISTIAN LOUBOUTIN SAS,27,0,48.8566,2.3515
toC,2017-02-27,GABOR SPOL S.R.O.,13,0,49.2197,18.7397
toC,2017-02-27,ALTERNATIVA DE MODA SAS TOUCHE,3,3,6.25598,-75.58
fromSub,2017-02-27,EGAL SRL,27,0,45.5962,9.01754
fromSub,2017-02-27,WORTRAD INTERNATIONAL SRL,14,3,45.6257,9.03733
fromSub,2017-02-27,MADEBLACK SRL,45,0,45.6508,9.84802
toSub,2017-02-27,MADEBLACK SRL,86,0,45.6508,9.84802
toSub,2017-02-27,EGAL SRL,25,0,45.5962,9.01754
toSub,2017-02-27,GESM SPA FASHION FACTORY,2,0,45.5846,10.4382
S,2017-02-28,C&C METAL PRODUCTS CORP.METAL,2,0,40.8929,-73.9726
S,2017-02-28,IL GRANELLO SCARL,1,1,45.6588,8.97193
toC,2017-02-28,LAPIN HOUSE ST. PAPAIOANNOU SA,3,0,38.0156,23.6913
toC,2017-02-28,CANO ART. CALZADO S.L.,28,0,38.5869,-0.672549
toC,2017-02-28,CIEMME SRL,4,0,39.2915,9.00154
toC,2017-02-28,JAIME MASCARO S.A,3,0,39.9833,4.01095
toC,2017-02-28,JOSE & JOSE MANUEL LDA,8,0,40.8977,-8.49067
toC,2017-02-28,FENDI SRL,44,0,41.8933,12.4829
toC,2017-02-28,BOTTEGA PIEFFE SRL,1,0,42.5685,11.8188
toC,2017-02-28,TOOLK SRL,2,0,43.1604,13.7161
toC,2017-02-28,NOVARESE SRL,5,0,43.2485,13.5092
toC,2017-02-28,STUDIO GRAPHIK P.M. SRL,1,0,43.2753,11.9851
toC,2017-02-28,BAMBOLETTA SRL,1,0,43.3055,13.7229
toC,2017-02-28,CALZATURIFICIO STELLA SRL,11,0,43.7477,11.0731
toC,2017-02-28,MATI SRL,15,0,43.7699,11.2556
toC,2017-02-28,SALVATORE FERRAGAMO SPA,1,0,43.7699,11.2556
toC,2017-02-28,PELLETTERIE BM SRL,1,0,43.7778,11.4448
toC,2017-02-28,RUCOLINE SPA,16,0,43.8295,10.5303
toC,2017-02-28,BIANCO ACCESSORI SRL,7,0,44.1065,12.4149
toC,2017-02-28,TREND SRL UNIPERSONALE,1,0,45.0954,6.91627
toC,2017-02-28,CORAL SRL,24,0,45.4668,9.1905
toC,2017-02-28,VALENTINO SPA,4,0,45.4668,9.1905
toC,2017-02-28,C.L. SERVICES TECHNIQUES SRL,4,0,45.5567,8.97774
toC,2017-02-28,GIOVANNI MONTE SRL,8,0,45.5586,8.94789
toC,2017-02-28,MORELLATO SPA,4,0,46.0636,11.4672
toC,2017-02-28,GABOR SHOES AG,18,0,47.8539,12.1273
toC,2017-02-28,CHRISTIAN LOUBOUTIN SAS,7,0,48.8566,2.3515
toC,2017-02-28,GABOR SPOL S.R.O.,9,0,49.2197,18.7397
fromSub,2017-02-28,GESM SPA FASHION FACTORY,3,1,45.5846,10.4382
fromSub,2017-02-28,EGAL SRL,19,0,45.5962,9.01754
fromSub,2017-02-28,WORTRAD INTERNATIONAL SRL,8,0,45.6257,9.03733
fromSub,2017-02-28,MADEBLACK SRL,101,0,45.6508,9.84802
toSub,2017-02-28,MADEBLACK SRL,81,0,45.6508,9.84802
toSub,2017-02-28,WORTRAD INTERNATIONAL SRL,19,0,45.6257,9.03733
toSub,2017-02-28,EGAL SRL,18,1,45.5962,9.01754
